minute,ger_sen
0,0.24209875
1,0.200002615
2,0.245596833
3,0.164744
4,0.281589738
5,0.281589738
6,0.182237625
7,0.243480889
8,0.160331926
9,0.04299532
10,0.041385812
11,0.139354745
12,0.138712667
13,0.082913813
14,0.164363361
15,0.229612333
16,0.222911061
17,0.294323879
18,0.218588649
19,0.346289759
20,0.407155581
21,0.387589817
22,0.349507705
23,0.324026208
24,0.288700691
25,0.261907611
26,0.218760976
27,0.197779893
28,0.174160167
29,0.144836714
30,0.142544867
31,-0.005335604
32,0.015626909
33,-0.074785394
34,-0.181398196
35,-0.086227288
36,-0.087661852
37,-0.02371601
38,0.008632413
39,0.072331333
40,0.222492978
41,0.222492978
42,0.227282773
43,0.156580231
44,0.22713246
45,0.130573107
46,0.249398956
47,0.287038217
48,0.186664538
49,0.168868488
50,0.168868488
51,0.072696573
52,0.140285987
53,0.117755783
54,0.139616442
55,0.219060453
56,0.13983722
57,0.197822146
58,0.106229182
59,0.146200772
60,0.053360506
61,0.12175751
62,0.146119576
63,0.138981021
64,0.021880694
65,-0.109244126
66,-0.064373897
67,-0.071047333
68,0.014832
69,-0.015424606
70,0.06581301
71,0.019192421
72,0.129792222
73,0.019453917
74,0.078492667
75,0.054166409
76,0.1210599
77,0.101102476
78,0.094245421
79,0.141254356
80,0.230049474
81,0.149666333
82,0.13737063
83,0.164671218
84,0.072925256
85,0.125148059
86,0.125148059
87,0.335192905
88,0.308177037
89,0.305395105
90,0.255535608
91,0.248079246
92,0.238143642
93,0.219486731
94,0.193043385
95,0.193043385
96,0.128333545
97,0.171296358
98,0.156449444
99,0.150382619
100,0.073517268
101,0.066857874
102,-0.05035509
103,-0.036482851
104,-0.062060067
105,-0.155677183
106,-0.149229786
107,-0.260706882
108,-0.378098229
109,-0.340752317
110,-0.239960422
111,-0.186048403
112,-0.058686547
113,0.002416825
114,-0.075495611
115,-0.190875762
116,-0.128085361
117,-0.137589018
118,-0.0686004
119,0.100345388
120,0.110074659
121,0.168650292
122,0.194470204
123,0.206678227
124,0.148302809
125,0.134961377
126,0.191736526
127,0.149183255
128,0.161945691
129,0.170333128
130,0.212438706
131,0.212438706
132,0.045117032
133,0.101549521
134,0.187581667
135,0.22111817
136,0.174682008
137,0.157482485
138,0.167930591
139,0.399200958
140,0.399200958
141,0.657087914
142,0.586800213
143,0.578349333
144,0.485998415
145,0.564375325
146,0.602867693
147,0.598095011
148,0.457460248
149,0.5399016
150,0.530151144
151,0.507720897
152,0.524578705
153,0.497901486
154,0.464724877
155,0.485644667
156,0.480190647
157,0.540996691
158,0.546029973
159,0.462210469
160,0.516431975
161,0.520147659
162,0.47283385
163,0.452296276
164,0.423974757
165,0.544340643
166,0.52540567
167,0.449010051
168,0.399011111
169,0.454848
170,0.498099214
171,0.477617384
172,0.497022882
173,0.47622798
174,0.510136019
175,0.515983558
176,0.515983558
177,0.565296494
178,0.554564065
179,0.523992565
180,0.499482646
181,0.458897226
182,0.437393627
183,0.459085386
184,0.500519412
185,0.500519412
186,0.50812953
187,0.436339864
188,0.438764
189,0.442965885
190,0.508968369
191,0.487947222
192,0.495298413
193,0.488382439
194,0.508217143
195,0.545271158
196,0.549491449
197,0.541569105
198,0.533441667
199,0.522540629
200,0.556064548
201,0.528252709
202,0.519996328
203,0.531839986
204,0.5590995
205,0.499283238
206,0.537579551
207,0.527668622
208,0.552554299
209,0.494895361
210,0.486110467
211,0.540945389
212,0.511410894
213,0.546597486
214,0.472431704
215,0.5129164
216,0.4791825
217,0.491577111
218,0.506762
219,0.501390713
220,0.51961202
221,0.51961202
222,0.524895204
223,0.491992667
224,0.485280282
225,0.4795583
226,0.483302627
227,0.505031854
228,0.520723556
229,0.536312061
230,0.536312061
231,0.466688396
232,0.484924883
233,0.484807467
234,0.490350286
235,0.523296667
236,0.547469627
237,0.545785951
238,0.543358278
239,0.503475381
